Year,country,Gallons
2009,CT,0.0
2010,CT,0.0
2011,CT,0.0
2012,CT,0.0
2013,CT,0.0
2014,CT,0.0
2015,CT,0.0
2016,CT,0.0
2017,CT,0.0
2018,CT,0.0
2019,CT,0.0
2020,CT,0.0
2021,CT,0.0
2022,CT,0.0
1995,CD,0.0
1996,CD,0.0
1997,CD,0.0
1998,CD,0.0
1999,CD,0.0
2000,CD,0.0
2001,CD,0.0
2002,CD,0.0
2003,CD,0.0
2004,CD,0.0
2005,CD,0.0
2006,CD,0.0
2007,CD,0.0
2008,CD,0.0
2009,CD,0.0
2010,CD,0.0
2011,CD,0.0
2012,CD,0.0
2013,CD,0.0
2014,CD,0.0
2015,CD,0.0
2016,CD,0.0
2017,CD,0.0
2018,CD,0.0
2019,CD,0.0
2020,CD,0.0
2021,CD,0.0
2022,CD,0.0
1995,CI,83584020.8
1996,CI,101019372.8
1997,CI,120171842.8
1998,CI,144634170.0
1999,CI,126987480.4
2000,CI,176308392.8
2001,CI,144026574.4
2002,CI,148543915.6
2003,CI,176519730.4
2004,CI,166454777.20000002
2005,CI,208299622.0
2006,CI,223172505.6
2007,CI,217334304.4
2008,CI,229380547.6
2009,CI,266628799.6
2010,CI,233633716.8
2011,CI,276429580.8
2012,CI,331641528.8
2013,CI,338694921.2
2014,CI,261424611.20000002
2015,CI,339883695.2
2016,CI,267949659.6
2017,CI,250752062.4
2018,CI,340729045.6
2019,CI,315394950.8
2020,CI,273074596.40000004
2021,CI,354967916.40000004
2022,CI,328709219.6
2023,CI,291381716.0
1995,HK,0.0
1996,HK,0.0
1997,HK,0.0
1998,HK,0.0
1999,HK,0.0
2000,HK,0.0
2001,HK,0.0
2002,HK,0.0
2003,HK,0.0
2004,HK,0.0
2005,HK,0.0
2006,HK,0.0
2007,HK,0.0
2008,HK,0.0
2009,HK,0.0
2010,HK,0.0
2011,HK,0.0
2012,HK,0.0
2013,HK,0.0
2014,HK,0.0
2015,HK,0.0
2016,HK,0.0
2017,HK,0.0
2018,HK,0.0
2019,HK,0.0
2020,HK,0.0
2021,HK,0.0
2022,HK,0.0
1995,MC,0.0
1996,MC,0.0
1997,MC,0.0
1998,MC,0.0
1999,MC,0.0
2000,MC,0.0
2001,MC,0.0
2002,MC,0.0
2003,MC,0.0
2004,MC,0.0
2005,MC,0.0
2006,MC,0.0
2007,MC,0.0
2008,MC,0.0
2009,MC,0.0
2010,MC,0.0
2011,MC,0.0
2012,MC,0.0
2013,MC,0.0
2014,MC,0.0
2015,MC,0.0
2016,MC,0.0
2017,MC,0.0
2018,MC,0.0
2019,MC,0.0
2020,MC,0.0
2021,MC,0.0
2022,MC,0.0
1995,CH,184920400.0
1996,CH,198129000.0
1997,CH,237754800.0
1998,CH,281211094.0
1999,CH,271066889.2
2000,CH,277380600.0
2001,CH,285305760.0
2002,CH,295872640.0
2003,CH,306439520.0
2004,CH,309081240.0
2005,CH,311722960.0
2006,CH,314364680.0
2007,CH,330215000.0
2008,CH,332856720.0
2009,CH,338140160.0
2010,CH,343423600.0
2011,CH,354677327.2
2012,CH,424392318.0
2013,CH,361730719.6
2014,CH,356526531.2
2015,CH,352537534.0
2016,CH,349156132.40000004
2017,CH,307390539.2
2018,CH,244861026.8
2019,CH,206688172.8
2020,CH,174010096.4
2021,CH,156072817.6
2022,CH,124874104.4
2023,CH,83663272.4
1995,TW,0.0
1996,TW,0.0
1997,TW,0.0
1998,TW,0.0
1999,TW,0.0
2000,TW,0.0
2001,TW,0.0
2002,TW,0.0
2003,TW,0.0
2004,TW,0.0
2005,TW,0.0
2006,TW,0.0
2007,TW,0.0
2008,TW,0.0
2009,TW,0.0
2010,TW,0.0
2011,TW,0.0
2012,TW,0.0
2013,TW,0.0
2014,TW,0.0
2015,TW,0.0
2016,TW,0.0
2017,TW,0.0
2018,TW,0.0
2019,TW,0.0
2020,TW,0.0
2021,TW,0.0
2022,TW,0.0
1995,CO,0.0
1996,CO,0.0
1997,CO,0.0
1998,CO,0.0
1999,CO,0.0
2000,CO,0.0
2001,CO,0.0
2002,CO,0.0
2003,CO,0.0
2004,CO,0.0
2005,CO,0.0
2006,CO,0.0
2007,CO,0.0
2008,CO,0.0
2009,CO,0.0
2010,CO,0.0
2011,CO,0.0
2012,CO,0.0
2013,CO,0.0
2014,CO,0.0
2015,CO,0.0
2016,CO,0.0
2017,CO,0.0
2018,CO,0.0
2019,CO,0.0
2020,CO,0.0
2021,CO,0.0
2022,CO,0.0
1995,CN,0.0
1996,CN,0.0
1997,CN,0.0
1998,CN,0.0
1999,CN,0.0
2000,CN,0.0
2001,CN,0.0
2002,CN,0.0
2003,CN,0.0
2004,CN,0.0
2005,CN,0.0
2006,CN,0.0
2007,CN,0.0
2008,CN,0.0
2009,CN,0.0
2010,CN,0.0
2011,CN,0.0
2012,CN,0.0
2013,CN,0.0
2014,CN,0.0
2015,CN,0.0
2016,CN,0.0
2017,CN,0.0
2018,CN,0.0
2019,CN,0.0
2020,CN,0.0
2021,CN,0.0
2022,CN,0.0
1995,CF,0.0
1996,CF,0.0
